method,condition,game,seed,agent_actions,frames,episode_index,episode_score,episode_hns
DreamerV3,official_size12m,Alien,1,95260,381040,162,560.0,4.814562529891738
DreamerV3,official_size12m,Alien,1,95966,383864,163,740.0,7.423295989796955
DreamerV3,official_size12m,Alien,1,96673,386692,164,680.0,6.5537181698285485
DreamerV3,official_size12m,Alien,1,97438,389752,165,1160.0,13.510340729575791
DreamerV3,official_size12m,Alien,1,97813,391252,166,480.0,3.655125436600531
DreamerV3,official_size12m,Alien,1,98659,394636,167,790.0,8.14794417310396
DreamerV3,official_size12m,Alien,1,99441,397764,168,1220.0,14.379918549544197
DreamerV3,official_size12m,Alien,1,100207,400828,169,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,101095,404380,170,1060.0,12.061044362961782
DreamerV3,official_size12m,Alien,1,101895,407580,171,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,102527,410108,172,700.0,6.84357744315135
DreamerV3,official_size12m,Alien,1,103345,413380,173,690.0,6.69864780648995
DreamerV3,official_size12m,Alien,1,104130,416520,174,670.0,6.408788533167147
DreamerV3,official_size12m,Alien,1,104836,419344,175,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,1,105668,422672,176,700.0,6.84357744315135
DreamerV3,official_size12m,Alien,1,106553,426212,177,770.0,7.858084899781158
DreamerV3,official_size12m,Alien,1,107424,429696,178,680.0,6.5537181698285485
DreamerV3,official_size12m,Alien,1,108106,432424,179,700.0,6.84357744315135
DreamerV3,official_size12m,Alien,1,108873,435492,180,760.0,7.713155263119757
DreamerV3,official_size12m,Alien,1,109702,438808,181,720.0,7.133436716474153
DreamerV3,official_size12m,Alien,2,586,2344,1,220.0,-0.11304511659589286
DreamerV3,official_size12m,Alien,2,1145,4580,2,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,2,2066,8264,3,230.0,0.031884520065508036
DreamerV3,official_size12m,Alien,2,2879,11516,4,280.0,0.7565327033725125
DreamerV3,official_size12m,Alien,2,3369,13476,5,180.0,-0.6927636632414964
DreamerV3,official_size12m,Alien,2,4471,17884,6,930.0,10.17695908636357
